inspection_id,question_id,result,severity,inspector_note
SI-2025-0006,4,Pass,,
SI-2025-0006,5,Pass,,
SI-2025-0006,6,Pass,,
SI-2025-0006,7,Pass,,
SI-2025-0006,8,Pass,,
SI-2025-0006,9,Pass,,
SI-2025-0006,10,Pass,,
SI-2025-0006,11,Pass,,
SI-2025-0006,12,Pass,,
SI-2025-0006,13,Pass,,
SI-2025-0006,14,NA,,
SI-2025-0006,15,Pass,,
SI-2025-0006,16,Pass,,
SI-2025-0006,17,Pass,,
SI-2025-0006,18,Pass,,
SI-2025-0006,19,Pass,,
SI-2025-0006,20,Pass,,
SI-2025-0006,21,Pass,,
SI-2025-0006,22,Pass,,
SI-2025-0006,23,Pass,,
SI-2025-0006,24,Pass,,
SI-2025-0007,1,Pass,,
SI-2025-0007,2,Pass,,
SI-2025-0007,3,Fail,High,Call point at loading bay 6 blocked by stored materials
SI-2025-0007,4,Fail,Low,Emergency light at the welfare cabin not illuminating on test
SI-2025-0007,5,Pass,,
SI-2025-0007,6,Fail,Medium,Distribution board at bay 2 left open and unlabelled
SI-2025-0007,7,Pass,,
SI-2025-0007,8,Pass,,
SI-2025-0007,9,Pass,,
SI-2025-0007,10,Pass,,
SI-2025-0007,11,Pass,,
SI-2025-0007,12,Pass,,
SI-2025-0007,13,Pass,,
SI-2025-0007,14,Pass,,
SI-2025-0007,15,Fail,Medium,Operative without hi-vis near the main workshop
SI-2025-0007,16,Pass,,
SI-2025-0007,17,Pass,,
SI-2025-0007,18,Pass,,
SI-2025-0007,19,Pass,,
SI-2025-0007,20,Pass,,
SI-2025-0007,21,Pass,,
SI-2025-0007,22,Pass,,
SI-2025-0007,23,NA,,
SI-2025-0007,24,Pass,,
SI-2025-0008,1,Pass,,
SI-2025-0008,2,Pass,,
SI-2025-0008,3,Pass,,
SI-2025-0008,4,Pass,,
SI-2025-0008,5,Pass,,
SI-2025-0008,6,Pass,,
SI-2025-0008,7,Pass,,
SI-2025-0008,8,Pass,,
SI-2025-0008,9,Pass,,
SI-2025-0008,10,Pass,,
SI-2025-0008,11,Pass,,
SI-2025-0008,12,Pass,,
SI-2025-0008,13,Pass,,
SI-2025-0008,14,Pass,,
SI-2025-0008,15,Pass,,
SI-2025-0008,16,Pass,,
SI-2025-0008,17,Pass,,
SI-2025-0008,18,Pass,,
SI-2025-0008,19,Pass,,
SI-2025-0008,20,Pass,,
SI-2025-0008,21,Pass,,
SI-2025-0008,22,Pass,,
SI-2025-0008,23,Pass,,
SI-2025-0008,24,Fail,Medium,No vehicle warning signage at the welfare cabin crossing
SI-2025-0009,1,Pass,,
SI-2025-0009,2,Pass,,
SI-2025-0009,3,Fail,High,Call point at the welfare cabin blocked by stored materials
SI-2025-0009,4,Fail,Low,Emergency light at loading bay 6 not illuminating on test
SI-2025-0009,5,Pass,,
SI-2025-0009,6,Fail,Medium,Distribution board at aisle 4 left open and unlabelled
SI-2025-0009,7,Pass,,
SI-2025-0009,8,NA,,
SI-2025-0009,9,Pass,,
SI-2025-0009,10,Pass,,
SI-2025-0009,11,Pass,,
SI-2025-0009,12,Pass,,
SI-2025-0009,13,Pass,,
SI-2025-0009,14,Pass,,
SI-2025-0009,15,Pass,,
SI-2025-0009,16,Pass,,
SI-2025-0009,17,Pass,,
SI-2025-0009,18,Pass,,
SI-2025-0009,19,Pass,,
SI-2025-0009,20,Pass,,
SI-2025-0009,21,Pass,,
SI-2025-0009,22,Pass,,
SI-2025-0009,23,Fail,Low,Statutory notice board at bay 2 out of date
SI-2025-0009,24,Pass,,
SI-2025-0010,1,Pass,,
SI-2025-0010,2,Pass,,
SI-2025-0010,3,Pass,,
SI-2025-0010,4,Pass,,
SI-2025-0010,5,Pass,,
SI-2025-0010,6,Pass,,
SI-2025-0010,7,Pass,,
SI-2025-0010,8,Pass,,
SI-2025-0010,9,Pass,,
SI-2025-0010,10,Fail,Medium,Waste bins overflowing at bay 2
SI-2025-0010,11,Pass,,
SI-2025-0010,12,Pass,,
SI-2025-0010,13,Pass,,
SI-2025-0010,14,Pass,,
SI-2025-0010,15,Fail,High,Operative without hi-vis near store B
SI-2025-0010,16,Pass,,
SI-2025-0010,17,Pass,,
SI-2025-0010,18,Pass,,
SI-2025-0010,19,Pass,,
SI-2025-0010,20,Pass,,
SI-2025-0010,21,Pass,,
SI-2025-0010,22,Pass,,
SI-2025-0010,23,Fail,Low,Statutory notice board at store B out of date
SI-2025-0010,24,Pass,,
SI-2025-0011,1,Pass,,
SI-2025-0011,2,Pass,,
SI-2025-0011,3,Pass,,
SI-2025-0011,4,Pass,,
SI-2025-0011,5,NA,,
SI-2025-0011,6,Pass,,
SI-2025-0011,7,Pass,,
SI-2025-0011,8,Pass,,
SI-2025-0011,9,Pass,,
SI-2025-0011,10,Pass,,
SI-2025-0011,11,Pass,,
SI-2025-0011,12,Pass,,
SI-2025-0011,13,Pass,,
SI-2025-0011,14,Pass,,
SI-2025-0011,15,Pass,,
SI-2025-0011,16,Fail,Low,Welfare room at the mezzanine without hot water
SI-2025-0011,17,Pass,,
SI-2025-0011,18,Pass,,
SI-2025-0011,19,Pass,,
SI-2025-0011,20,Pass,,
SI-2025-0011,21,Pass,,
SI-2025-0011,22,Pass,,
SI-2025-0011,23,Pass,,
SI-2025-0011,24,Pass,,
SI-2025-0012,1,Pass,,
SI-2025-0012,2,Pass,,
SI-2025-0012,3,Pass,,
SI-2025-0012,4,Pass,,
SI-2025-0012,5,Pass,,
SI-2025-0012,6,Pass,,
SI-2025-0012,7,Pass,,
SI-2025-0012,8,Pass,,
SI-2025-0012,9,Pass,,
SI-2025-0012,10,Pass,,
SI-2025-0012,11,Pass,,
SI-2025-0012,12,Fail,Medium,Spill kit at level 2 missing absorbent pads
SI-2025-0012,13,Pass,,
SI-2025-0012,14,Pass,,
SI-2025-0012,15,Pass,,
SI-2025-0012,16,Pass,,
SI-2025-0012,17,Pass,,
SI-2025-0012,18,NA,,
SI-2025-0012,19,Pass,,
SI-2025-0012,20,Pass,,
SI-2025-0012,21,Pass,,
SI-2025-0012,22,Pass,,
SI-2025-0012,23,Fail,Medium,Statutory notice board at loading bay 6 out of date
SI-2025-0012,24,Pass,,
SI-2025-0013,1,Fail,Medium,Fire door at the main workshop catches on frame and does not latch
SI-2025-0013,2,Pass,,
SI-2025-0013,3,Pass,,
SI-2025-0013,4,Fail,High,Emergency light at the yard gate not illuminating on test
SI-2025-0013,5,Pass,,
SI-2025-0013,6,Pass,,
SI-2025-0013,7,Pass,,
SI-2025-0013,8,Pass,,
SI-2025-0013,9,Pass,,
SI-2025-0013,10,Pass,,
SI-2025-0013,11,NA,,
SI-2025-0013,12,Fail,Low,Spill kit at the main workshop missing absorbent pads
SI-2025-0013,13,Pass,,
SI-2025-0013,14,Pass,,
SI-2025-0013,15,Pass,,
SI-2025-0013,16,Pass,,
SI-2025-0013,17,Pass,,
SI-2025-0013,18,Pass,,
SI-2025-0013,19,Pass,,
SI-2025-0013,20,Pass,,
SI-2025-0013,21,Pass,,
SI-2025-0013,22,Pass,,
SI-2025-0013,23,Pass,,
SI-2025-0013,24,Pass,,
SI-2025-0014,1,Pass,,
SI-2025-0014,2,Pass,,
SI-2025-0014,3,Pass,,
SI-2025-0014,4,Fail,Low,Emergency light at aisle 4 not illuminating on test
SI-2025-0014,5,Pass,,
SI-2025-0014,6,Pass,,
SI-2025-0014,7,Pass,,
SI-2025-0014,8,Pass,,
SI-2025-0014,9,Fail,Medium,Pallets staged on pedestrian route near the north stairwell
SI-2025-0014,10,Pass,,
SI-2025-0014,11,Pass,,
SI-2025-0014,12,Pass,,
SI-2025-0014,13,Pass,,
SI-2025-0014,14,Pass,,
SI-2025-0014,15,Pass,,
SI-2025-0014,16,Pass,,
SI-2025-0014,17,Pass,,
SI-2025-0014,18,Pass,,
SI-2025-0014,19,Pass,,
SI-2025-0014,20,Pass,,
SI-2025-0014,21,Pass,,
SI-2025-0014,22,Fail,Low,Walkway markings at the main workshop worn and faded
SI-2025-0014,23,Pass,,
SI-2025-0014,24,Pass,,
SI-2025-0015,1,Pass,,
SI-2025-0015,2,Fail,Medium,Extinguisher at the yard gate past its service date
SI-2025-0015,3,Pass,,
SI-2025-0015,4,Pass,,
SI-2025-0015,5,Pass,,
SI-2025-0015,6,NA,,
SI-2025-0015,7,Pass,,
SI-2025-0015,8,Pass,,
SI-2025-0015,9,Fail,Low,Pallets staged on pedestrian route near the dock office
SI-2025-0015,10,Pass,,
SI-2025-0015,11,Fail,High,Work bench at the main workshop cluttered with offcuts
SI-2025-0015,12,Pass,,
SI-2025-0015,13,Pass,,
SI-2025-0015,14,Pass,,
SI-2025-0015,15,NA,,
SI-2025-0015,16,Pass,,
SI-2025-0015,17,Pass,,
SI-2025-0015,18,Pass,,
SI-2025-0015,19,Pass,,
SI-2025-0015,20,Pass,,
SI-2025-0015,21,Pass,,
SI-2025-0015,22,Pass,,
SI-2025-0015,23,Pass,,
SI-2025-0015,24,Fail,Low,No vehicle warning signage at the main workshop crossing
SI-2025-0016,1,NA,,
SI-2025-0016,2,Pass,,
SI-2025-0016,3,Pass,,
SI-2025-0016,4,NA,,
SI-2025-0016,5,Pass,,
SI-2025-0016,6,Pass,,
SI-2025-0016,7,Fail,Low,Damaged extension lead in use at store B
SI-2025-0016,8,Fail,Low,Isolation switch at the dock office obstructed
SI-2025-0016,9,Pass,,
SI-2025-0016,10,Pass,,
SI-2025-0016,11,Pass,,
SI-2025-0016,12,Fail,Low,Spill kit at the east exit missing absorbent pads
SI-2025-0016,13,Fail,High,Eye-wash bottle at the mezzanine past expiry
SI-2025-0016,14,Pass,,
SI-2025-0016,15,Pass,,
SI-2025-0016,16,Pass,,
SI-2025-0016,17,Pass,,
SI-2025-0016,18,Pass,,
SI-2025-0016,19,Fail,Low,Untagged stepladder in use at the yard gate
SI-2025-0016,20,Pass,,
SI-2025-0016,21,Pass,,
SI-2025-0016,22,Fail,High,Walkway markings at level 2 worn and faded
SI-2025-0016,23,Pass,,
SI-2025-0016,24,Pass,,
SI-2025-0017,1,Pass,,
SI-2025-0017,2,Pass,,
SI-2025-0017,3,Pass,,
SI-2025-0017,4,Pass,,
SI-2025-0017,5,Pass,,
SI-2025-0017,6,Fail,Medium,Distribution board at level 2 left open and unlabelled
SI-2025-0017,7,Pass,,
SI-2025-0017,8,Pass,,
SI-2025-0017,9,Fail,Low,Pallets staged on pedestrian route near the mezzanine
SI-2025-0017,10,Pass,,
SI-2025-0017,11,Pass,,
SI-2025-0017,12,Pass,,
SI-2025-0017,13,Pass,,
SI-2025-0017,14,Pass,,
SI-2025-0017,15,Pass,,
SI-2025-0017,16,Fail,Low,Welfare room at the dock office without hot water
SI-2025-0017,17,Pass,,
SI-2025-0017,18,Fail,Low,Overloaded top beam at the main workshop
SI-2025-0017,19,Fail,Medium,Untagged stepladder in use at store B
SI-2025-0017,20,Pass,,
SI-2025-0017,21,Fail,Low,Escape route sign above the yard gate obscured by stock
SI-2025-0017,22,Pass,,
SI-2025-0017,23,Pass,,
SI-2025-0017,24,Fail,Medium,No vehicle warning signage at the dock office crossing
SI-2025-0018,1,Pass,,
SI-2025-0018,2,Pass,,
SI-2025-0018,3,Pass,,
SI-2025-0018,4,Pass,,
SI-2025-0018,5,Pass,,
SI-2025-0018,6,Pass,,
SI-2025-0018,7,Pass,,
SI-2025-0018,8,Pass,,
SI-2025-0018,9,NA,,
SI-2025-0018,10,Pass,,
SI-2025-0018,11,Pass,,
SI-2025-0018,12,Pass,,
SI-2025-0018,13,Pass,,
SI-2025-0018,14,Fail,Low,First-aid kit at store B missing dressings
SI-2025-0018,15,Pass,,
SI-2025-0018,16,Pass,,
SI-2025-0018,17,Pass,,
SI-2025-0018,18,Pass,,
SI-2025-0018,19,Pass,,
SI-2025-0018,20,Pass,,
SI-2025-0018,21,Pass,,
SI-2025-0018,22,Pass,,
SI-2025-0018,23,Pass,,
SI-2025-0018,24,NA,,
SI-2025-0019,1,Pass,,
SI-2025-0019,2,Pass,,
SI-2025-0019,3,Pass,,
SI-2025-0019,4,Pass,,
SI-2025-0019,5,Pass,,
SI-2025-0019,6,Fail,Medium,Distribution board at the main workshop left open and unlabelled
SI-2025-0019,7,Pass,,
SI-2025-0019,8,Pass,,
SI-2025-0019,9,Pass,,
SI-2025-0019,10,Pass,,
SI-2025-0019,11,Pass,,
SI-2025-0019,12,Pass,,
SI-2025-0019,13,Fail,Low,Eye-wash bottle at the yard gate past expiry
SI-2025-0019,14,Pass,,
SI-2025-0019,15,Fail,High,Operative without hi-vis near the north stairwell
SI-2025-0019,16,Pass,,
SI-2025-0019,17,Pass,,
SI-2025-0019,18,Pass,,
SI-2025-0019,19,Pass,,
SI-2025-0019,20,Pass,,
SI-2025-0019,21,Pass,,
SI-2025-0019,22,Pass,,
SI-2025-0019,23,Fail,Medium,Statutory notice board at the main workshop out of date
SI-2025-0019,24,Pass,,
SI-2025-0020,1,Pass,,
SI-2025-0020,2,Pass,,
SI-2025-0020,3,Fail,Low,Call point at bay 2 blocked by stored materials
SI-2025-0020,4,Pass,,
SI-2025-0020,5,Pass,,
SI-2025-0020,6,Pass,,
SI-2025-0020,7,Pass,,
SI-2025-0020,8,Pass,,
SI-2025-0020,9,Pass,,
SI-2025-0020,10,Fail,Low,Waste bins overflowing at level 2
SI-2025-0020,11,Pass,,
SI-2025-0020,12,Pass,,
SI-2025-0020,13,Pass,,
SI-2025-0020,14,Pass,,
SI-2025-0020,15,Pass,,
SI-2025-0020,16,Pass,,
SI-2025-0020,17,Pass,,
SI-2025-0020,18,Fail,Medium,Overloaded top beam at the welfare cabin
SI-2025-0020,19,Pass,,
SI-2025-0020,20,NA,,
SI-2025-0020,21,Pass,,
SI-2025-0020,22,Fail,Low,Walkway markings at the main workshop worn and faded
SI-2025-0020,23,Fail,Low,Statutory notice board at loading bay 6 out of date
SI-2025-0020,24,Pass,,
SI-2025-0021,1,Pass,,
SI-2025-0021,2,Pass,,
SI-2025-0021,3,Pass,,
SI-2025-0021,4,Pass,,
SI-2025-0021,5,Pass,,
SI-2025-0021,6,Pass,,
SI-2025-0021,7,Pass,,
SI-2025-0021,8,Pass,,
SI-2025-0021,9,Fail,Low,Pallets staged on pedestrian route near the east exit
SI-2025-0021,10,NA,,
SI-2025-0021,11,Pass,,
SI-2025-0021,12,Fail,Low,Spill kit at the dock office missing absorbent pads
SI-2025-0021,13,NA,,
SI-2025-0021,14,Fail,Low,First-aid kit at the east exit missing dressings
SI-2025-0021,15,Fail,Medium,Operative without hi-vis near the dock office
SI-2025-0021,16,Fail,Low,Welfare room at bay 2 without hot water
SI-2025-0021,17,Pass,,
SI-2025-0021,18,Pass,,
SI-2025-0021,19,Pass,,
SI-2025-0021,20,Pass,,
SI-2025-0021,21,Pass,,
SI-2025-0021,22,Pass,,
SI-2025-0021,23,Fail,Medium,Statutory notice board at level 2 out of date
SI-2025-0021,24,Fail,Low,No vehicle warning signage at bay 2 crossing
SI-2025-0022,1,NA,,
SI-2025-0022,2,Pass,,
SI-2025-0022,3,Pass,,
SI-2025-0022,4,Pass,,
SI-2025-0022,5,NA,,
SI-2025-0022,6,Pass,,
SI-2025-0022,7,Pass,,
SI-2025-0022,8,Pass,,
SI-2025-0022,9,Pass,,
SI-2025-0022,10,Pass,,
SI-2025-0022,11,Pass,,
SI-2025-0022,12,Fail,Low,Spill kit at aisle 4 missing absorbent pads
SI-2025-0022,13,Fail,Medium,Eye-wash bottle at level 2 past expiry
SI-2025-0022,14,Pass,,
SI-2025-0022,15,Pass,,
SI-2025-0022,16,Pass,,
SI-2025-0022,17,Pass,,
SI-2025-0022,18,Pass,,
SI-2025-0022,19,Pass,,
SI-2025-0022,20,Pass,,
SI-2025-0022,21,Pass,,
SI-2025-0022,22,Fail,Medium,Walkway markings at the welfare cabin worn and faded
SI-2025-0022,23,Pass,,
SI-2025-0022,24,Pass,,
SI-2025-0023,1,Pass,,
SI-2025-0023,2,Pass,,
SI-2025-0023,3,Pass,,
SI-2025-0023,4,Pass,,
SI-2025-0023,5,Pass,,
SI-2025-0023,6,Pass,,
SI-2025-0023,7,Pass,,
SI-2025-0023,8,Pass,,
SI-2025-0023,9,Fail,Low,Pallets staged on pedestrian route near aisle 4
SI-2025-0023,10,Pass,,
SI-2025-0023,11,Pass,,
SI-2025-0023,12,Pass,,
SI-2025-0023,13,Pass,,
SI-2025-0023,14,Pass,,
SI-2025-0023,15,Fail,Low,Operative without hi-vis near loading bay 6
SI-2025-0023,16,Pass,,
SI-2025-0023,17,Pass,,
SI-2025-0023,18,Pass,,
SI-2025-0023,19,Pass,,
SI-2025-0023,20,Fail,High,COSHH register at the east exit not updated this quarter
SI-2025-0023,21,Pass,,
SI-2025-0023,22,Pass,,
SI-2025-0023,23,Pass,,
SI-2025-0023,24,Pass,,
SI-2025-0024,1,Fail,Medium,Fire door at bay 2 catches on frame and does not latch
SI-2025-0024,2,Pass,,
SI-2025-0024,3,Pass,,
SI-2025-0024,4,Pass,,
SI-2025-0024,5,Pass,,
SI-2025-0024,6,Pass,,
SI-2025-0024,7,Pass,,
SI-2025-0024,8,Pass,,
SI-2025-0024,9,Pass,,
SI-2025-0024,10,Pass,,
SI-2025-0024,11,Pass,,
SI-2025-0024,12,Pass,,
SI-2025-0024,13,Fail,Low,Eye-wash bottle at aisle 4 past expiry
SI-2025-0024,14,Pass,,
SI-2025-0024,15,Pass,,
SI-2025-0024,16,Pass,,
SI-2025-0024,17,Pass,,
SI-2025-0024,18,Pass,,
SI-2025-0024,19,Pass,,
SI-2025-0024,20,Pass,,
SI-2025-0024,21,Pass,,
SI-2025-0024,22,Pass,,
SI-2025-0024,23,NA,,
SI-2025-0024,24,Pass,,
SI-2025-0025,1,Pass,,
SI-2025-0025,2,Pass,,
SI-2025-0025,3,NA,,
SI-2025-0025,4,Pass,,
SI-2025-0025,5,Pass,,
SI-2025-0025,6,Fail,Low,Distribution board at loading bay 6 left open and unlabelled
SI-2025-0025,7,Pass,,
SI-2025-0025,8,NA,,
SI-2025-0025,9,Fail,Low,Pallets staged on pedestrian route near loading bay 6
SI-2025-0025,10,Fail,Low,Waste bins overflowing at the yard gate
SI-2025-0025,11,Fail,Low,Work bench at the yard gate cluttered with offcuts
SI-2025-0025,12,Pass,,
SI-2025-0025,13,Pass,,
SI-2025-0025,14,Pass,,
SI-2025-0025,15,Fail,Low,Operative without hi-vis near the mezzanine
SI-2025-0025,16,Pass,,
SI-2025-0025,17,Pass,,
SI-2025-0025,18,Fail,High,Overloaded top beam at the welfare cabin
SI-2025-0025,19,Fail,Medium,Untagged stepladder in use at loading bay 6
SI-2025-0025,20,Pass,,
SI-2025-0025,21,Pass,,
SI-2025-0025,22,Pass,,
SI-2025-0025,23,Pass,,
SI-2025-0025,24,Pass,,
SI-2025-0026,1,Pass,,
SI-2025-0026,2,Pass,,
SI-2025-0026,3,Pass,,
SI-2025-0026,4,Pass,,
SI-2025-0026,5,Pass,,
SI-2025-0026,6,Pass,,
SI-2025-0026,7,Pass,,
SI-2025-0026,8,Pass,,
SI-2025-0026,9,Pass,,
SI-2025-0026,10,Pass,,
SI-2025-0026,11,Pass,,
SI-2025-0026,12,Pass,,
SI-2025-0026,13,Pass,,
SI-2025-0026,14,Fail,Low,First-aid kit at the north stairwell missing dressings
SI-2025-0026,15,Pass,,
SI-2025-0026,16,Fail,High,Welfare room at aisle 4 without hot water
SI-2025-0026,17,Pass,,
SI-2025-0026,18,Pass,,
SI-2025-0026,19,Pass,,
SI-2025-0026,20,Pass,,
SI-2025-0026,21,Pass,,
SI-2025-0026,22,Pass,,
SI-2025-0026,23,Pass,,
SI-2025-0026,24,Pass,,
SI-2025-0027,1,Pass,,
SI-2025-0027,2,Pass,,
SI-2025-0027,3,Pass,,
SI-2025-0027,4,Fail,Medium,Emergency light at the dock office not illuminating on test
SI-2025-0027,5,Pass,,
SI-2025-0027,6,Pass,,
SI-2025-0027,7,Fail,Low,Damaged extension lead in use at the dock office
SI-2025-0027,8,Pass,,
SI-2025-0027,9,Pass,,
SI-2025-0027,10,Pass,,
SI-2025-0027,11,Pass,,
SI-2025-0027,12,Pass,,
SI-2025-0027,13,Pass,,
SI-2025-0027,14,Pass,,
SI-2025-0027,15,Pass,,
SI-2025-0027,16,Pass,,
SI-2025-0027,17,Pass,,
SI-2025-0027,18,Pass,,
SI-2025-0027,19,Pass,,
SI-2025-0027,20,Pass,,
SI-2025-0027,21,Pass,,
SI-2025-0027,22,Pass,,
SI-2025-0027,23,Fail,Low,Statutory notice board at the main workshop out of date
SI-2025-0027,24,Fail,Low,No vehicle warning signage at aisle 4 crossing
SI-2025-0028,1,Pass,,
SI-2025-0028,2,Pass,,
SI-2025-0028,3,Fail,Low,Call point at loading bay 6 blocked by stored materials
SI-2025-0028,4,Pass,,
SI-2025-0028,5,Pass,,
SI-2025-0028,6,Pass,,
SI-2025-0028,7,Pass,,
SI-2025-0028,8,NA,,
SI-2025-0028,9,Pass,,
SI-2025-0028,10,Pass,,
SI-2025-0028,11,Pass,,
SI-2025-0028,12,Pass,,
SI-2025-0028,13,Pass,,
SI-2025-0028,14,Fail,Medium,First-aid kit at store B missing dressings
SI-2025-0028,15,Pass,,
SI-2025-0028,16,Fail,Medium,Welfare room at store B without hot water
SI-2025-0028,17,Pass,,
SI-2025-0028,18,Pass,,
SI-2025-0028,19,Pass,,
SI-2025-0028,20,Pass,,
SI-2025-0028,21,Pass,,
SI-2025-0028,22,Pass,,
SI-2025-0028,23,Pass,,
SI-2025-0028,24,Fail,Low,No vehicle warning signage at aisle 4 crossing
SI-2025-0029,1,Pass,,
SI-2025-0029,2,Pass,,
SI-2025-0029,3,Pass,,
SI-2025-0029,4,Pass,,
SI-2025-0029,5,Pass,,
SI-2025-0029,6,Pass,,
SI-2025-0029,7,Pass,,
SI-2025-0029,8,Pass,,
SI-2025-0029,9,Pass,,
SI-2025-0029,10,Pass,,
SI-2025-0029,11,Pass,,
SI-2025-0029,12,Pass,,
SI-2025-0029,13,Pass,,
SI-2025-0029,14,Pass,,
SI-2025-0029,15,Pass,,
SI-2025-0029,16,NA,,
SI-2025-0029,17,Pass,,
SI-2025-0029,18,Pass,,
SI-2025-0029,19,Pass,,
SI-2025-0029,20,Pass,,
SI-2025-0029,21,Pass,,
SI-2025-0029,22,Pass,,
SI-2025-0029,23,Pass,,
SI-2025-0029,24,Pass,,
SI-2025-0030,1,Pass,,
SI-2025-0030,2,Pass,,
SI-2025-0030,3,Pass,,
SI-2025-0030,4,Pass,,
SI-2025-0030,5,Pass,,
SI-2025-0030,6,Pass,,
SI-2025-0030,7,Pass,,
SI-2025-0030,8,Pass,,
SI-2025-0030,9,Pass,,
SI-2025-0030,10,Pass,,
SI-2025-0030,11,Pass,,
SI-2025-0030,12,Pass,,
SI-2025-0030,13,Pass,,
SI-2025-0030,14,Pass,,
SI-2025-0030,15,Pass,,
SI-2025-0030,16,Pass,,
SI-2025-0030,17,Pass,,
SI-2025-0030,18,Pass,,
SI-2025-0030,19,Pass,,
SI-2025-0030,20,Pass,,
SI-2025-0030,21,Fail,Low,Escape route sign above the north stairwell obscured by stock
