break_id,opened,resolved,feed_code,category,severity,owner,status
BRK-0184,2026-06-23,,ECOM,Duplicate keys,High,L. Prentice,Fix in code review
BRK-0185,2026-06-24,,EDI,Amount mismatch,Medium,D. Okafor,Investigating persistent small variance
BRK-0186,2026-06-26,,EDI,Late arrival,Medium,D. Okafor,Supplier SFTP window under review
BRK-0187,2026-06-26,,LOY,Duplicate keys,Low,S. Varga,Fix scheduled 01 Jul
BRK-0188,2026-06-27,,ECOM,Amount mismatch,Medium,L. Prentice,Root cause identified: refund timing
BRK-0189,2026-06-27,,LOY,Rule threshold breach,Medium,S. Varga,Email validity drift under investigation
BRK-0190,2026-06-28,,ECOM,Row count mismatch,Low,L. Prentice,Linked to refund timing
BRK-0191,2026-06-28,,POS,Schema drift,High,L. Prentice,New till software field under review
BRK-0192,2026-06-29,,EDI,Missing file,Critical,D. Okafor,Investigating
BRK-0193,2026-06-29,,ECOM,Late arrival,Low,L. Prentice,Arrived 05:07 - monitoring
