date,feed_code,source_rows,warehouse_rows,source_amount,warehouse_amount,files_expected,files_received,arrival_time_raw
2026-04-08,LOY,1843913,1843913,,,1,1,03:32
2026-04-08,PRD,83824,83824,,,1,1,02:57
2026-04-08,STO,641,641,,,1,1,03:05
2026-04-09,POS,2338040,2338040,17946312,17946312,4,4,03:56
2026-04-09,ECOM,139266,139266,982592,982592,1,1,04:05
2026-04-09,GL,90851,90851,40210302,40210302,1,1,05:10
2026-04-09,EDI,8636,8636,1545868,1545868,3,3,04:39
2026-04-09,LOG,29828,29828,,,2,2,4:30
2026-04-09,LOY,1844282,1844282,,,1,1,03:25
2026-04-09,PRD,83825,83825,,,1,1,02:56
2026-04-09,STO,641,641,,,1,1,02:57
2026-04-10,POS,2565397,2565397,19676781,19676781,4,4,03:45
2026-04-10,ECOM,141713,141713,1003943,1003943,1,1,04:03
2026-04-10,GL,95311,95311,42228502,42228502,1,1,02:40
2026-04-10,EDI,8933,8933,1591560,1591560,3,3,04:38
2026-04-10,LOG,30799,30799,,,2,2,04:48
2026-04-10,LOY,1844615,1844615,,,1,1,03:30
2026-04-10,PRD,83828,83828,,,1,1,02:46
2026-04-10,STO,641,641,,,1,1,03:05
2026-04-11,POS,2836811,2836811,21767198,21767198,4,4,04:01
2026-04-11,ECOM,132272,132272,938446,938446,1,1,04:14
2026-04-11,EDI,7757,7757,1377407,1377407,3,3,04:31
2026-04-11,LOG,28051,28051,,,2,2,04:54:30
2026-04-11,LOY,1845010,1845010,,,1,1,03:17
2026-04-11,PRD,83839,83839,,,1,1,02:59
2026-04-11,STO,641,641,,,1,1,02:53
2026-04-12,POS,2415322,2415322,18541524,18541524,4,4,04:03
2026-04-12,ECOM,144871,144871,1023917,1023917,1,1,04:13
2026-04-12,LOG,20969,20969,,,2,2,4:33
2026-04-12,LOY,1845315,1845315,,,1,1,03:30
2026-04-12,PRD,83848,83848,,,1,1,03:00
2026-04-12,STO,641,641,,,1,1,02:43
2026-04-13,POS,2233947,2233947,16982566,16982566,4,4,03:53
2026-04-13,ECOM,156168,156168,1101183,1101183,1,1,04:05
2026-04-13,GL,93389,93389,41229475,41229475,1,1,02:40
2026-04-13,EDI,10174,10174,1815203,1815203,3,3,04:22
2026-04-13,LOG,30631,30631,,,2,2,04:37
2026-04-13,LOY,1845611,1845611,,,1,1,03:18
2026-04-13,PRD,83849,83849,,,1,1,02:53
2026-04-13,STO,641,641,,,1,1,03:04
2026-04-14,POS,2166793,2166793,16547187,16547187,4,4,04:01
2026-04-14,ECOM,142013,142013,1006278,1006278,1,1,04:20
2026-04-14,GL,90258,90258,40063836,40063836,1,1,02:28
2026-04-14,EDI,8732,8732,1560121,1560121,3,3,04:20
2026-04-14,LOG,30866,30866,,,2,2,04:31:54
2026-04-14,LOY,1845914,1845914,,,1,1,03:19
2026-04-14,PRD,83851,83851,,,1,1,02:52
2026-04-14,STO,641,641,,,1,1,02:55
2026-04-15,POS,2242907,2242907,17223056,17223056,4,4,03:46
2026-04-15,ECOM,140258,140258,992166,992166,1,1,04:04
2026-04-15,GL,92890,92890,41113035,41113035,1,1,02:27
2026-04-15,EDI,8505,8505,1515960,1515960,3,3,04:20
2026-04-15,LOG,29726,29726,,,2,2,4:37
2026-04-15,LOY,1846293,1846293,,,1,1,03:13
2026-04-15,PRD,83859,83859,,,1,1,02:42
2026-04-15,STO,641,641,,,1,1,02:55
2026-04-16,POS,2315534,2315534,17767186,17767186,4,4,03:58
2026-04-16,ECOM,139183,139183,984938,984938,1,1,04:22
2026-04-16,GL,89723,89723,39720842,39720842,1,1,02:37
2026-04-16,EDI,8372,8372,1501038,1501038,3,3,04:34
2026-04-16,LOG,29883,29883,,,2,2,04:42
2026-04-16,LOY,1846592,1846592,,,1,1,03:20
2026-04-16,PRD,83870,83870,,,1,1,02:52
2026-04-16,STO,641,641,,,1,1,02:52
2026-04-17,POS,2616085,2616085,19905262,19905262,4,4,03:50
2026-04-17,ECOM,141609,141609,1003223,1003223,1,1,04:16
2026-04-17,GL,97278,97278,43302310,43302310,1,1,02:44
2026-04-17,EDI,9025,9025,1612971,1612971,3,3,04:30
2026-04-17,LOG,30945,30945,,,2,2,04:48:32
2026-04-17,LOY,1846944,1846944,,,1,1,03:25
2026-04-17,PRD,83875,83875,,,1,1,02:43
2026-04-17,STO,641,641,,,1,1,02:48
2026-04-18,POS,2882297,2882297,22143222,22143222,4,4,03:52
2026-04-18,ECOM,128338,128338,908511,908511,1,1,04:13
2026-04-18,EDI,7955,7955,1422644,1422644,3,3,04:42
2026-04-18,LOG,27854,27854,,,2,2,4:47
2026-04-18,LOY,1847245,1847245,,,1,1,03:30
2026-04-18,PRD,83879,83879,,,1,1,02:57
2026-04-18,STO,641,641,,,1,1,03:01
2026-04-19,POS,2364344,2364344,18064470,18064470,4,4,03:59
2026-04-19,ECOM,145955,145955,1027573,1027573,1,1,04:10
2026-04-19,LOG,21113,21113,,,2,2,04:37
2026-04-19,LOY,1847643,1847643,,,1,1,03:22
2026-04-19,PRD,83886,83886,,,1,1,02:41
2026-04-19,STO,641,641,,,1,1,03:03
2026-04-20,POS,2313691,2313691,17768060,17768060,4,4,03:43
2026-04-20,ECOM,151900,151900,1074871,1074871,1,1,04:10
2026-04-20,GL,89745,89745,39845250,39845250,1,1,02:43
2026-04-20,EDI,9868,9868,1750151,1750151,3,3,04:32
2026-04-20,LOG,31467,31467,,,2,2,04:43:55
2026-04-20,LOY,1847993,1847993,,,1,1,03:21
2026-04-20,PRD,83896,83896,,,1,1,02:51
2026-04-20,STO,641,641,,,1,1,02:45
2026-04-21,POS,2168313,2168313,16493375,16493375,4,4,03:41
2026-04-21,ECOM,139819,139819,995101,995101,1,1,04:08
2026-04-21,GL,90279,90279,39969181,39969181,1,1,02:33
2026-04-21,EDI,8893,8893,1588104,1588104,3,3,05:18
2026-04-21,LOG,30178,30178,,,2,2,4:41
2026-04-21,LOY,1848279,1848279,,,1,1,03:22
2026-04-21,PRD,83907,83907,,,1,1,02:51
2026-04-21,STO,641,641,,,1,1,02:54
2026-04-22,POS,2208174,2208174,16927768,16927768,4,4,03:49
2026-04-22,ECOM,136029,136029,966202,966202,1,1,04:09
2026-04-22,GL,89365,89365,39741398,39741398,1,1,02:47
2026-04-22,EDI,8661,8661,1548049,1548049,3,3,04:35
2026-04-22,LOG,29907,29907,,,2,2,04:45
2026-04-22,LOY,1848658,1848658,,,1,1,03:29
2026-04-22,PRD,83917,83917,,,1,1,03:02
2026-04-22,STO,641,641,,,1,1,02:52
2026-04-23,POS,2258157,2258157,17256002,17256002,4,4,04:02
2026-04-23,ECOM,142968,142968,1014805,1014805,1,1,04:14
2026-04-23,GL,91661,91661,40846197,40846197,1,1,02:40
2026-04-23,EDI,8417,8417,1493321,1493321,3,3,04:35
2026-04-23,LOG,30935,30935,,,2,2,04:50:57
2026-04-23,LOY,1849003,1849003,,,1,1,03:23
2026-04-23,PRD,83918,83918,,,1,1,02:59
2026-04-23,STO,641,641,,,1,1,02:42
2026-04-24,POS,2614620,2614620,20019166,20019166,4,4,04:01
2026-04-24,ECOM,147540,147540,1044017,1044017,1,1,04:06
2026-04-24,GL,97758,97758,43227551,43227551,1,1,02:43
2026-04-24,EDI,8938,8938,1598240,1598240,3,3,04:44
2026-04-24,LOG,30612,30612,,,2,2,4:51
2026-04-24,LOY,1849365,1849365,,,1,1,03:15
2026-04-24,PRD,83921,83921,,,1,1,02:59
2026-04-24,STO,641,641,,,1,1,02:55
2026-04-25,POS,2846509,2846509,21629916,21629916,4,4,03:51
2026-04-25,ECOM,127744,127744,903528,903528,1,1,04:18
2026-04-25,EDI,8042,8042,1433412,1433412,3,3,04:37
2026-04-25,LOG,28013,28013,,,2,2,04:47
2026-04-25,LOY,1849746,1849746,,,1,1,03:34
2026-04-25,PRD,83931,83931,,,1,1,02:44
2026-04-25,STO,641,641,,,1,1,02:57
2026-04-26,POS,2404025,2404025,18272052,18272052,4,4,04:00
2026-04-26,ECOM,148346,148346,1044924,1044924,1,1,04:22
2026-04-26,LOG,21389,21389,,,2,2,04:42:41
2026-04-26,LOY,1850072,1850072,,,1,1,03:29
2026-04-26,PRD,83933,83933,,,1,1,02:54
2026-04-26,STO,641,641,,,1,1,02:44
2026-04-27,POS,2235723,2235723,17138562,17138562,4,4,03:58
2026-04-27,ECOM,156286,156286,1105755,1105755,1,1,04:05
2026-04-27,GL,90510,90510,39960597,39960597,1,1,02:26
2026-04-27,EDI,10289,10289,1830440,1830440,3,3,04:25
2026-04-27,LOG,30691,30691,,,2,2,4:51
2026-04-27,LOY,1850356,1850356,,,1,1,03:30
2026-04-27,PRD,83933,83933,,,1,1,02:43
2026-04-27,STO,641,641,,,1,1,02:51
2026-04-28,POS,2154761,2154761,16511876,16511876,4,4,04:03
2026-04-28,ECOM,139100,139100,990539,990539,1,1,04:23
2026-04-28,GL,89944,89944,39940850,39940850,1,1,02:32
2026-04-28,EDI,8838,8838,1581227,1581227,3,3,04:29
2026-04-28,LOG,31472,31472,,,2,2,05:13
2026-04-28,LOY,1850741,1850741,,,1,1,03:18
2026-04-28,PRD,83943,83943,,,1,1,02:55
2026-04-28,STO,641,641,,,1,1,02:49
2026-04-29,POS,2173345,2173345,16703850,16703850,4,4,03:56
2026-04-29,ECOM,135971,135971,957599,957599,1,1,04:05
2026-04-29,GL,93160,93160,41425931,41425931,1,1,02:35
2026-04-29,EDI,8582,8582,1533426,1533426,3,3,04:27
2026-04-29,LOG,29810,29810,,,2,2,04:47:07
2026-04-29,LOY,1851053,1851053,,,1,1,03:11
2026-04-29,PRD,83955,83955,,,1,1,03:03
2026-04-29,STO,641,641,,,1,1,03:03
2026-04-30,POS,2293213,2293213,17500467,17500467,4,4,03:57
2026-04-30,ECOM,141876,141876,1004628,1004628,1,1,04:18
2026-04-30,GL,90914,90914,40263084,40263084,1,1,02:25
2026-04-30,EDI,8632,8632,1539096,1539096,3,3,04:24
2026-04-30,LOG,30727,30727,,,2,2,4:41
2026-04-30,LOY,1851399,1851399,,,1,1,03:16
2026-04-30,PRD,83956,83956,,,1,1,02:46
2026-04-30,STO,641,641,,,1,1,02:50
2026-05-01,POS,2577878,2577878,19637097,19637097,4,4,04:02
2026-05-01,ECOM,141334,141334,997250,997250,1,1,04:06
2026-05-01,GL,97173,97173,43211475,43211475,1,1,02:31
2026-05-01,EDI,8725,8725,1556128,1556128,3,3,04:42
2026-05-01,LOG,31235,31235,,,2,2,04:30
2026-05-01,LOY,1851721,1851721,,,1,1,03:28
2026-05-01,PRD,83959,83959,,,1,1,02:45
2026-05-01,STO,641,641,,,1,1,03:02
2026-05-02,POS,2924586,2924586,22318194,22318194,4,4,03:50
2026-05-02,ECOM,133214,133214,943949,943949,1,1,04:14
2026-05-02,EDI,7822,7822,1394658,1394658,3,3,04:35
2026-05-02,LOG,27853,27853,,,2,2,04:52:00
2026-05-02,LOY,1852117,1852117,,,1,1,03:10
2026-05-02,PRD,83967,83967,,,1,1,02:49
2026-05-02,STO,641,641,,,1,1,03:00
2026-05-03,POS,2431654,2431654,18488276,18488276,4,4,03:53
2026-05-03,ECOM,148563,148563,1052499,1052499,1,1,04:02
2026-05-03,LOG,21474,21474,,,2,2,4:44
2026-05-03,LOY,1852483,1852483,,,1,1,03:20
2026-05-03,PRD,83975,83975,,,1,1,02:55
2026-05-03,STO,641,641,,,1,1,02:57
2026-05-04,POS,2231305,2231305,16969330,16969330,4,4,03:53
2026-05-04,ECOM,151408,151408,1070091,1070091,1,1,04:15
2026-05-04,GL,89429,89429,39569042,39569042,1,1,02:46
2026-05-04,EDI,9891,9891,1773436,1773436,3,3,04:37
2026-05-04,LOG,31424,31424,,,2,2,04:51
2026-05-04,LOY,1852845,1852845,,,1,1,03:21
2026-05-04,PRD,83979,83979,,,1,1,02:52
2026-05-04,STO,641,641,,,1,1,02:59
2026-05-05,POS,2144744,2144744,16336469,16336469,4,4,03:48
2026-05-05,ECOM,144740,144740,1022629,1022629,1,1,04:04
2026-05-05,GL,90646,90646,40054684,40054684,1,1,02:36
2026-05-05,EDI,8898,8898,1590968,1590968,3,3,04:42
2026-05-05,LOG,30942,30942,,,2,2,04:50:24
2026-05-05,LOY,1853141,1853141,,,1,1,03:22
2026-05-05,PRD,83984,83984,,,1,1,02:55
2026-05-05,STO,641,641,,,1,1,02:42
2026-05-06,POS,2177681,2177681,16565778,16565778,4,4,03:53
2026-05-06,ECOM,138176,138176,973028,973028,1,1,04:02
2026-05-06,GL,93124,93124,41105384,41105384,1,1,02:40
2026-05-06,EDI,8635,8635,1532940,1532940,3,3,04:22
2026-05-06,LOG,29507,29507,,,2,2,4:48
2026-05-06,LOY,1853442,1853442,,,1,1,03:31
2026-05-06,PRD,83992,83992,,,1,1,02:48
2026-05-06,STO,641,641,,,1,1,02:58
2026-05-07,POS,2363661,2363661,18086969,18086969,4,4,03:58
2026-05-07,ECOM,143064,143064,1009987,1009987,1,1,04:14
2026-05-07,GL,90413,90413,39998930,39998930,1,1,02:37
2026-05-07,EDI,8500,8500,1520302,1520302,3,3,05:06
2026-05-07,LOG,30206,30206,,,2,2,04:48
2026-05-07,LOY,1853833,1853833,,,1,1,03:25
2026-05-07,PRD,84000,84000,,,1,1,02:40
2026-05-07,STO,641,641,,,1,1,02:54
2026-05-08,POS,2650738,2650738,20335683,20335683,4,4,03:57
2026-05-08,ECOM,143977,143977,1017925,1017925,1,1,04:11
2026-05-08,GL,93944,93944,41802767,41802767,1,1,02:44
2026-05-08,EDI,9082,9082,1619984,1619984,3,3,04:40
2026-05-08,LOG,31898,31898,,,2,2,04:49:56
2026-05-08,LOY,1854223,1854223,,,1,1,03:18
2026-05-08,PRD,84001,84001,,,1,1,02:45
2026-05-08,STO,641,641,,,1,1,02:54
2026-05-09,POS,2959282,2959282,22702473,22702473,4,4,03:49
2026-05-09,ECOM,133626,133626,948844,948844,1,1,04:12
2026-05-09,EDI,7972,7972,1426726,1426726,3,3,04:30
2026-05-09,LOG,28816,28816,,,2,2,4:37
2026-05-09,LOY,1854615,1854615,,,1,1,03:31
2026-05-09,PRD,84005,84005,,,1,1,02:42
2026-05-09,STO,641,641,,,1,1,03:05
2026-05-10,POS,2385380,2385380,18247521,18247521,4,4,03:50
2026-05-10,ECOM,151704,151704,1074827,1074827,1,1,04:09
2026-05-10,LOG,20940,20940,,,2,2,04:40
2026-05-10,LOY,1854967,1854967,,,1,1,03:26
2026-05-10,PRD,84005,84005,,,1,1,02:43
2026-05-10,STO,641,641,,,1,1,03:04
2026-05-11,POS,2322423,2322423,17739976,17739976,4,4,03:49
2026-05-11,ECOM,151867,151867,1073542,1073542,1,1,04:05
2026-05-11,GL,91625,91625,40626054,40626054,1,1,02:43
2026-05-11,EDI,10088,10088,1799958,1799958,3,3,04:20
2026-05-11,LOG,32108,32108,,,2,2,04:44:28
2026-05-11,LOY,1855359,1855359,,,1,1,03:18
2026-05-11,PRD,84005,84005,,,1,1,02:56
2026-05-11,STO,641,641,,,1,1,02:44
2026-05-12,POS,2208902,2208902,16960563,16960563,4,4,04:01
2026-05-12,ECOM,144785,144785,1029433,1029433,1,1,04:12
2026-05-12,GL,90783,90783,40526063,40526063,1,1,02:36
2026-05-12,EDI,8802,8802,1577870,1577870,3,3,04:31
2026-05-12,LOG,31261,31261,,,2,2,4:35
2026-05-12,LOY,1855703,1855703,,,1,1,03:11
2026-05-12,PRD,84006,84006,,,1,1,02:53
2026-05-12,STO,641,641,,,1,1,02:59
2026-05-13,POS,2241881,2241881,17123209,17123209,4,4,03:59
2026-05-13,ECOM,142387,142387,1008137,1008137,1,1,04:19
2026-05-13,GL,93622,93622,41586468,41586468,1,1,02:34
2026-05-13,EDI,8573,8573,1526606,1526606,3,3,04:41
2026-05-13,LOG,30672,30672,,,2,2,04:43
2026-05-13,LOY,1855993,1855993,,,1,1,03:33
2026-05-13,PRD,84012,84012,,,1,1,02:58
2026-05-13,STO,641,641,,,1,1,03:01
2026-05-14,POS,2262900,2262900,17272505,17272505,4,4,04:00
2026-05-14,ECOM,138485,138485,981216,981216,1,1,04:09
2026-05-14,GL,93227,93227,41370053,41370053,1,1,02:26
2026-05-14,EDI,8568,8568,1535838,1535838,3,3,04:32
2026-05-14,LOG,29880,29880,,,2,2,04:39:45
2026-05-14,LOY,1856363,1856363,,,1,1,03:22
2026-05-14,PRD,84012,84012,,,1,1,02:54
2026-05-14,STO,641,641,,,1,1,02:56
2026-05-15,POS,2588369,2588369,19834848,19834848,4,4,03:51
2026-05-15,ECOM,144407,144407,1019024,1019024,1,1,04:23
2026-05-15,GL,97629,97629,43287266,43287266,1,1,02:44
2026-05-15,EDI,8822,8822,1569488,1569488,3,3,04:23
2026-05-15,LOG,30679,30679,,,2,2,4:42
2026-05-15,LOY,1856704,1856704,,,1,1,03:13
2026-05-15,PRD,84020,84020,,,1,1,02:41
2026-05-15,STO,642,642,,,1,1,02:50
2026-05-16,POS,2873401,2873401,21948573,21948573,4,4,03:50
2026-05-16,ECOM,128399,128399,914388,914388,1,1,04:19
2026-05-16,EDI,8053,8053,1444395,1444395,3,3,04:41
2026-05-16,LOG,28884,28884,,,2,2,04:32
2026-05-16,LOY,1857103,1857103,,,1,1,03:12
2026-05-16,PRD,84027,84027,,,1,1,02:41
2026-05-16,STO,642,642,,,1,1,03:03
2026-05-17,POS,2392839,2392839,18186441,18186441,4,4,03:58
2026-05-17,ECOM,152508,152508,1078121,1078121,1,1,04:17
2026-05-17,LOG,21203,21203,,,2,2,04:34:59
2026-05-17,LOY,1857450,1857450,,,1,1,03:28
2026-05-17,PRD,84030,84030,,,1,1,02:52
2026-05-17,STO,642,642,,,1,1,03:06
2026-05-18,POS,2214463,2214463,17013717,17013717,4,4,03:41
2026-05-18,ECOM,150207,150207,1063810,1063810,1,1,04:22
2026-05-18,GL,92729,92729,41089531,41089531,1,1,02:26
2026-05-18,EDI,9869,9869,1759910,1759910,3,3,04:25
2026-05-18,LOG,32223,32223,,,2,2,4:41
2026-05-18,LOY,1857823,1857823,,,1,1,03:20
2026-05-18,PRD,84036,84036,,,1,1,02:54
2026-05-18,STO,642,642,,,1,1,02:47
2026-05-19,POS,2164128,2164128,16611988,16611988,4,4,03:41
2026-05-19,ECOM,145032,145032,1027115,1027115,1,1,04:08
2026-05-19,GL,90650,90650,40467012,40467012,1,1,02:32
2026-05-19,EDI,8805,8805,1566449,1566449,3,3,05:22
2026-05-19,LOG,31483,31483,,,2,2,04:47
2026-05-19,LOY,1858212,1858212,,,1,1,03:30
2026-05-19,PRD,84047,84047,,,1,1,02:46
2026-05-19,STO,642,642,,,1,1,02:46
2026-05-20,POS,2259549,2259549,17286986,17286986,4,4,03:52
2026-05-20,ECOM,140391,140391,991174,991174,1,1,04:07
2026-05-20,GL,93507,93507,41730211,41730211,1,1,02:34
2026-05-20,EDI,8788,8788,1563955,1563955,3,3,04:26
2026-05-20,LOG,30285,30285,,,2,2,04:41:21
2026-05-20,LOY,1858563,1858563,,,1,1,03:19
2026-05-20,PRD,84058,84058,,,1,1,02:51
2026-05-20,STO,642,642,,,1,1,03:05
2026-05-21,POS,2336050,2336050,17887589,17887589,4,4,03:56
2026-05-21,ECOM,139968,139968,991660,991660,1,1,04:12
2026-05-21,GL,93631,93631,41460492,41460492,1,1,02:31
2026-05-21,EDI,8581,8581,1534464,1534464,3,3,04:39
2026-05-21,LOG,31270,31270,,,2,2,4:33
2026-05-21,LOY,1858857,1858857,,,1,1,03:13
2026-05-21,PRD,84058,84058,,,1,1,02:59
2026-05-21,STO,642,642,,,1,1,02:59
2026-05-22,POS,2591852,2591852,19822560,19822560,4,4,03:56
2026-05-22,ECOM,145658,145658,1030351,1030351,1,1,03:59
2026-05-22,GL,96311,96311,42824043,42824043,1,1,02:27
2026-05-22,EDI,9038,9038,1612845,1612845,3,3,04:32
2026-05-22,LOG,31848,31848,,,2,2,04:33
2026-05-22,LOY,1859228,1859228,,,1,1,03:13
2026-05-22,PRD,84068,84068,,,1,1,02:59
2026-05-22,STO,642,642,,,1,1,02:59
2026-05-23,POS,2910627,2910627,22191374,22191374,4,4,03:55
2026-05-23,ECOM,129740,129740,923020,923020,1,1,04:15
2026-05-23,EDI,7953,7953,1415244,1415244,3,3,04:39
2026-05-23,LOG,28675,28675,,,2,2,04:54:45
2026-05-23,LOY,1859540,1859540,,,1,1,03:14
2026-05-23,PRD,84077,84077,,,1,1,02:54
2026-05-23,STO,642,642,,,1,1,02:45
2026-05-24,POS,2457997,2457997,18759938,18759938,4,4,03:58
2026-05-24,ECOM,145756,145756,1026684,1026684,1,1,04:18
2026-05-24,LOG,21085,21085,,,2,2,4:34
2026-05-24,LOY,1859928,1859928,,,1,1,03:12
2026-05-24,PRD,84079,84079,,,1,1,02:47
2026-05-24,STO,642,642,,,1,1,03:05
2026-05-25,POS,2271852,2271852,17393070,17393070,4,4,03:44
2026-05-25,ECOM,157046,157046,1106588,1106588,1,1,04:18
2026-05-25,GL,91363,91363,40526553,40526553,1,1,02:32
2026-05-25,EDI,10042,10042,1781815,1781815,3,3,04:29
2026-05-25,LOG,31815,31815,,,2,2,04:30
2026-05-25,LOY,1860270,1860270,,,1,1,03:13
2026-05-25,PRD,84083,84083,,,1,1,03:00
2026-05-25,STO,642,642,,,1,1,02:57
2026-05-26,POS,2207985,2207985,16958153,16958153,4,4,03:56
2026-05-26,ECOM,144059,144059,1017495,1017495,1,1,04:05
2026-05-26,GL,90555,90555,40282657,40282657,1,1,02:25
2026-05-26,EDI,8600,8600,1536064,1536064,3,3,04:23
2026-05-26,LOG,30550,30550,,,2,2,04:35:41
2026-05-26,LOY,1860620,1860620,,,1,1,03:16
2026-05-26,PRD,84084,84084,,,1,1,02:48
2026-05-26,STO,642,642,,,1,1,02:55
2026-05-27,POS,2269661,2269661,17270448,17270448,4,4,03:56
2026-05-27,ECOM,136646,136646,963201,963201,1,1,04:13
2026-05-27,GL,93428,93428,41380373,41380373,1,1,02:28
2026-05-27,EDI,8390,8390,1504616,1504616,3,3,04:31
2026-05-27,LOG,30827,30827,,,2,2,4:36
2026-05-27,LOY,1861016,1861016,,,1,1,03:11
2026-05-27,PRD,84090,84090,,,1,1,02:59
2026-05-27,STO,642,642,,,1,1,02:55
2026-05-28,POS,2361251,2361251,18021086,18021086,4,4,03:50
2026-05-28,ECOM,138318,138318,978171,978171,1,1,04:20
2026-05-28,GL,91915,91915,40679313,40679313,1,1,02:37
2026-05-28,EDI,8398,8398,1489903,1489903,3,3,04:22
2026-05-28,LOG,29963,29963,,,2,2,04:48
2026-05-28,LOY,1861345,1861345,,,1,1,03:19
2026-05-28,PRD,84100,84100,,,1,1,02:58
2026-05-28,STO,642,642,,,1,1,03:03
2026-05-29,POS,2647663,2647663,20331759,20331759,4,4,03:58
2026-05-29,ECOM,145520,145520,1029596,1029596,1,1,04:07
2026-05-29,GL,98542,98542,43905145,43905145,1,1,02:42
2026-05-29,EDI,8744,8744,1562548,1562548,3,3,04:30
2026-05-29,LOG,31049,31049,,,2,2,04:54:19
2026-05-29,LOY,1861676,1861676,,,1,1,03:14
2026-05-29,PRD,84103,84103,,,1,1,02:42
2026-05-29,STO,642,642,,,1,1,02:55
2026-05-30,POS,2849759,2849759,21902129,21902129,4,4,03:56
2026-05-30,ECOM,131310,131310,927470,927470,1,1,04:10
2026-05-30,EDI,7932,7932,1416362,1416362,3,3,04:30
2026-05-30,LOG,27742,27742,,,2,2,4:47
2026-05-30,LOY,1862020,1862020,,,1,1,03:28
2026-05-30,PRD,84111,84111,,,1,1,02:43
2026-05-30,STO,642,642,,,1,1,03:00
2026-05-31,POS,2386018,2386018,18304173,18304173,4,4,03:50
2026-05-31,ECOM,152117,152117,1083242,1083242,1,1,04:02
2026-05-31,LOG,21967,21967,,,2,2,04:39
2026-05-31,LOY,1862306,1862306,,,1,1,03:31
2026-05-31,PRD,84118,84118,,,1,1,02:51
2026-05-31,STO,642,642,,,1,1,02:44
2026-06-01,POS,2307774,2307774,17600255,17600255,4,4,03:59
2026-06-01,ECOM,155640,155640,1102852,1102852,1,1,04:23
2026-06-01,GL,92786,92786,40997150,40997150,1,1,02:23
2026-06-01,EDI,10212,10212,1815293,1815293,3,3,05:11
